key,indicator,category,trader_role,status,events,first_candle_events,same_candle_conflicts,has_visual_output,issue,action_done
si_outside_rev,Outside Reversal,pattern,filter only,PASS,165,0,0,True,,"sanitized, cooldown, no first session candle, no bull+bear same candle"
si_three_inside,Three Inside,pattern,filter only,PASS,153,0,0,True,,"sanitized, cooldown, no first session candle, no bull+bear same candle"
si_dark_cloud,Dark Cloud/Piercing,pattern,filter only,PASS,155,0,0,True,,"sanitized, cooldown, no first session candle, no bull+bear same candle"
si_vol_exh,Vol Exhaustion,volume,filter only,PASS,263,0,0,True,,"sanitized, cooldown, no first session candle, no bull+bear same candle"
si_rsi_div,RSI Divergence,momentum,subpanel/filter,PASS,0,0,0,True,,"sanitized, cooldown, no first session candle, no bull+bear same candle"
si_cpr,CPR Levels,trend,levels only,PASS,0,0,0,True,,"sanitized, cooldown, no first session candle, no bull+bear same candle"
si_swing_str,Swing Structure,pattern,filter only,PASS,307,0,0,True,,"sanitized, cooldown, no first session candle, no bull+bear same candle"
si_bos,BOS,pattern,filter only,PASS,254,0,0,True,,"sanitized, cooldown, no first session candle, no bull+bear same candle"
si_choch,CHoCH,pattern,filter only,PASS,202,0,0,True,,"sanitized, cooldown, no first session candle, no bull+bear same candle"
si_inside_out,Inside/Outside Bar,pattern,filter only,PASS,550,0,0,True,,"sanitized, cooldown, no first session candle, no bull+bear same candle"
si_sfp,SFP,pattern,filter only,PASS,154,0,0,True,,"sanitized, cooldown, no first session candle, no bull+bear same candle"
si_cdl_mb,CDL Multi-Bar,pattern,filter only,PASS,284,0,0,True,,"sanitized, cooldown, no first session candle, no bull+bear same candle"
si_fractal,Fractal H/L,pattern,filter only,PASS,448,0,0,True,,"sanitized, cooldown, no first session candle, no bull+bear same candle"
si_bb_break,BB Breakout,volatility,setup only,PASS,599,0,0,True,,"sanitized, cooldown, no first session candle, no bull+bear same candle"
si_bahai,Bahai Reversal,pattern,filter only,PASS,206,0,0,True,,"sanitized, cooldown, no first session candle, no bull+bear same candle"
si_hs,Head & Shoulders,pattern,filter only,PASS,137,0,0,True,,"sanitized, cooldown, no first session candle, no bull+bear same candle"
si_dbl,Double Top/Bottom,pattern,filter only,PASS,141,0,0,True,,"sanitized, cooldown, no first session candle, no bull+bear same candle"
si_rev_radar,Reversal Radar,momentum,filter only,PASS,149,0,0,True,,"sanitized, cooldown, no first session candle, no bull+bear same candle"
si_nbar,N-Bar Reversal,pattern,filter only,PASS,214,0,0,True,,"sanitized, cooldown, no first session candle, no bull+bear same candle"
si_impulse,Impulse Trend BOS,pattern,filter only,PASS,339,0,0,True,,"sanitized, cooldown, no first session candle, no bull+bear same candle"
si_hourly_pvt,Hourly Pivots,trend,levels only,PASS,0,0,0,True,,"sanitized, cooldown, no first session candle, no bull+bear same candle"
si_fib,Fibonacci Levels,trend,filter only,PASS,158,0,0,True,,"sanitized, cooldown, no first session candle, no bull+bear same candle"
